From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
114;111;sea;1261;-1;-1;-1;-1;
114;112;sea;1267;-1;-1;-1;-1;
41;42;sea;1253;-1;-1;-1;-1;
121;122;sea;1265;-1;-1;-1;-1;
109;110;sea;1267;-1;-1;-1;-1;
108;105;sea;1256;-1;-1;-1;-1;
93;94;sea;1256;-1;-1;-1;-1;
191;192;sea;1320;-1;-1;-1;-1;
188;187;sea;1320;-1;-1;-1;-1;
206;207;sea;1333;-1;-1;-1;-1;
614;615;sea;1349;-1;-1;-1;-1;
585;615;sea;1349;-1;-1;-1;-1;
778;780;sea;1355;-1;-1;-1;-1;
1173;1174;sea;1362;-1;-1;-1;-1;
-1;-1;;-1;-1;-1;-1;-1;-1;
