LandProvince;SeaZone;x;y
duntobor;west_panorian_coast;6252;7943;x
jegathrn;east_panorian_coast;6687;7969;x
tauk_u;northwest_emean_shore;11305;7968;x
anti;northern_coast;8576;7963;x
nansung;northeast_emean_shore;11398;7923;x
unnamed_location_164;vul_coast;13893;7929;x
unnamed_location_109;northern_thark_coast;13529;7880;x
stosak;east_panorian_coast;6671;7901;x
sushen;rift_sea;8615;7896;x
ngwedaut;northwest_emean_shore;11282;7879;x
iime;sanukit_coast;9657;7857;x
rukpakur;northwest_emean_shore;10758;7881;x
wakkakur;northwest_emean_shore;10831;7886;x
mogadon;northeast_emean_shore;11482;7875;x
stone_fjords;west_panorian_coast;6331;7888;x
tsooba;rift_sea;8591;7897;x
rokunkur;northwest_emean_shore;10920;7878;x
madapyaw;northeast_emean_shore;11448;7877;x
unnamed_location_163;vul_coast;13953;7857;x
mintat;northwest_emean_shore;10686;7858;x
iqin;rift_sea;8586;7859;x
grasshill;south_panorian_sea;6645;7817;x
halfhill;west_panorian_coast;6389;7853;x
moorvilik;steringr_gulf;8642;7862;x
ummo;northwest_emean_shore;11032;7852;x
pinnituq;steringr_gulf;8659;7827;x
pawlangin;northeast_emean_shore;11521;7842;x
isle_of_bone;east_panorian_coast;6747;7837;x
apadudaw;northwest_emean_shore;11254;7829;x
aan;gulf_of_ice;9074;7801;x
unnamed_location_110;northern_thark_coast;13507;7794;x
hurakur;northwest_emean_shore;11107;7820;x
taliq;gulf_of_ice;9036;7786;x
yedr;west_panorian_coast;6400;7799;x
unnamed_location_162;vul_coast;13987;7788;x
paykamuy;northwest_emean_shore;10632;7808;x
cipyarpor;northwest_emean_shore;11209;7808;x
altaram;south_panorian_sea;6614;7787;x
issoh;miqur_coast;9554;7792;x
cikunkur;northwest_emean_shore;11164;7807;x
ipikhasaa;steringr_gulf;8639;7781;x
tueby;rift_sea;8532;7795;x
unnamed_location_161;vul_coast;14051;7746;x
snowport;bay_of_seals;9276;7782;x
sealshore;bay_of_seals;9288;7785;x
hmosi;northeast_emean_shore;11635;7756;x
aqaslu;miqur_coast;9520;7778;x
fjordheim;coast_of_drengyr;8872;7781;x
iatuqu;bay_of_seals;9295;7750;x
porri;bay_of_seals;9322;7769;x
leden;coast_of_drengyr;8870;7775;x
nuqun_isle;bay_of_seals;9283;7773;x
rukksland;coast_of_drengyr;8865;7765;x
saffenwighe;west_panorian_coast;6414;7726;x
usskot;bay_of_seals;9276;7746;x
saiilorqon;miqur_coast;9510;7759;x
basbergan;coast_of_drengyr;8866;7754;x
tulku;northern_sea_of_whales;9088;7725;x
hamkep;upper_mountain_coast;10633;7722;x
kepwud;south_panorian_sea;6554;7743;x
otalar;coast_of_drengyr;8850;7707;x
maaq;miqur_coast;9487;7705;x
upper_iron_isles;west_iron_sea;7010;7733;x
qosskot;bay_of_seals;9237;7729;x
