ID,Colour,Name,Capital,Tax,Production,Manpower,"Total Dev (0 means cant colonize, but can with only 1)",Trade Good,Terrain (see https://eu4.paradoxwikis.com/Province#Terrain for types),Special (is wasteland/uncolonized/sea),Region,Religion,Culture,Fort (Level),Center of Trade Level,Owner,Cores (not including owner),Controller,"Climate (arid, arctic, tropical)","Winter (cold, normal, mild)"
1,same,Varhall,Varhall,17,14,11,42,Paper,,,Rokkfangr,Yoneth,Nyvarsk,,2,,,,,
2,same,Storm's Point,Storm's Pass,6,4,8,18,Naval Supplies,2419,13.36464088,Rokkfangr,Yoneth,Nyvarsk,1,,,,,,
3,same,Logunar,Darras,7,5,6,18,Fish,1038,9.980769231,Rokkfangr,Yoneth,Nyvarsk,,,,,,,
4,same,Vryn,Vryngard,4,3,5,12,Naval Supplies,490,15.3125,Rokkfangr,Yoneth,Nyvarsk,1,,,,,,
5,same,Lindby,Lindby,9,7,7,23,Grain,348,10.54545455,Rokkfangr,Yoneth,Nyvarsk,,,,,,,
6,same,Skallor,Skald's Harbour,8,8,7,23,Fish,234,11.14285714,,Yoneth,Nyvarsk,,1,,,,,
7,same,Orbonfell,Orbonfell,11,13,6,30,Magic Goods ,703,16.34883721,,Yoneth,Nyvarsk,1,1,,,,,
8,same,Gleifingr,Arntoft,5,7,3,15,Ancient Artifacts,1842,18.42,,Yoneth,Nyvarsk,,,,,,,
9,same,Bjorlan,Ulfdram,3,3,2,8,Grain,531,17.12903226,,Yoneth,Nyvarsk,,,,,,,
10,same,Sjaldan,Sjaldan,6,4,4,14,Naval Supplies,550,18.96551724,,Yoneth,Nyvarsk,,,,,,,
11,same,Jorekkr,Winter's Peak,3,2,3,8,Fish,1065,21.3,,Yoneth,Ykran,1,,,,,,
12,same,Runland,Runskopr,4,5,2,11,Iron,2884,16.67052023,,Yoneth,Ykran,,,,,,,
13,same,Neifland,Ardu,3,2,2,7,Wool,1420,19.18918919,,Yoneth,Ykran,,,,,,,
14,same,Sona,Osby,5,3,3,11,Amber,19631,,,Yoneth,Ykran,,1,,,,,
15,same,Hronnland,Sun's Rock,4,7,3,14,copper,6107,20.08881579,,Yoneth,Nyvarsk,,,,,,,
16,same,Bernstone,Bernstone,8,6,5,19,Amber,,,,Yoneth,Nyvarsk,1,1,,,,,
17,same,Bone Coast,Skimur,6,5,7,18,Livestock,,,,Yoneth,Nyvarsk,,,,,,,
18,same,Northel,Northel,7,5,6,18,Grain,,,,Yoneth,Nyvarsk,,,,,,,
19,same,Oddgarm,Stadlen,3,4,2,9,Salt,,,,Yoneth,Ykran,,,,,,,
20,same,Hofen,Giant's Hill,3,3,3,9,Gold,,,,Old Yorr,Ykran,,,,,,,
21,same,Nykra,Nykra,8,6,11,25,Wool,,,,Yoneth,Ykran,1,1,,,,,
