# INNEA - AREA POPULATION TARGETS
# Grouped by subcontinent > region > area.
#
# EDIT THE 'POP_K' COLUMN ONLY. Values are THOUSANDS of people (EU5 'size' unit).
# Parsing reads the FIRST token as the area key and the SECOND as POP_K.
# Lines starting with # are ignored, so the subtotals below are comments - they are
# NOT re-read, and will be stale until I regenerate. Only the area rows matter.
#
# Current values: pop = K * dev^1.9 * (topography*vegetation*climate*rgo)^0.25 * jitter
# The world total need not stay at 81606 - I renormalise to whatever you enter.
# Within each area, locations keep their current relative weights.
#
# SCALE REFERENCE - EU5 vanilla has 650 areas, 393,896k total, median 272k:
#   jiangnan        11,165k   46 locs  242.7 avg/loc  <- densest on Earth (Yangtze delta)
#   doab             4,977k   35 locs  142.2 avg/loc  (Ganges-Yamuna)
#   lower_egypt      3,491k   30 locs  116.4 avg/loc  (Nile delta)
#   normandy         1,267k   28 locs   45.3 avg/loc  (rich European core)
#   north_portugal     649k   34 locs   19.1 avg/loc  (ordinary European)
#   dzungaria          271k   36 locs    7.5 avg/loc  (steppe)  <- vanilla median
#   vyatka             114k   18 locs    6.4 avg/loc  (arctic forest)
#   laurentian           6k   40 locs    0.2 avg/loc  (Canadian shield)
#   vanilla areas max/median 48.0x   |   Innea currently 5.7x


#======================================================================================================================
#  EASTERN INNEA  -  26158k  (32.1% of world, 29 areas, 1216 locations)
#======================================================================================================================

#  --- Acryllia region  -  10181k  (6 areas, 305 locations, 33.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   acryllian_coast_area                   5017    49     41.2  mediterranean farmland
   empirium_area                          4982    65     30.5  mediterranean farmland
   maetia_area                            3105    43     39.7  mediterranean farmland
   the_goldvale_area                      1964    49     31.9  oceanic       farmland
   greater_cothonia_area                  3507    46     32.8  mediterranean farmland
   tauria_area                            1606    53     26.5  oceanic       sparse

#  --- Heartlands region  -  6848k  (5 areas, 297 locations, 23.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   rivwoudn_basin_area                    5412    80     25.2  oceanic       woods
   north_teltran_area                     3198    45     28.1  oceanic       farmland
   taroq_area                             3328    51     24.2  oceanic       woods
   central_teltran_area                   2884    65     18.6  oceanic       woods
   teltran_coast_area                     2654    56     20.1  oceanic       sparse

#  --- Commonwealth region  -  5778k  (7 areas, 264 locations, 21.9 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   syllos_area                            2158    44     34.2  oceanic       farmland
   east_moltran_area                      2370    46     25.4  continental   farmland
   tradeshore_area                        1541    39     29.3  oceanic       woods
   west_moltran_area                      2084    55     16.7  continental   woods
   free_states_area                        905    24     29.4  oceanic       farmland
   allarnia_area                           465    22      8.8  continental   forest
   achakk_area                             231    34      4.3  continental   forest

#  --- Brythawn region  -  1584k  (4 areas, 139 locations, 11.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lower_briltan_area                      1574    42     20.8  oceanic       farmland
