# EU5 BASE GAME - POPULATION BY AREA
# Reference only. Generated from the vanilla install:
#   game/main_menu/setup/start/06_pops.txt  +  game/in_game/map_data/definitions.txt
#
# Values are THOUSANDS of people (the EU5 'size' unit). World total 393896k = 394 million,
# against a real 1337 Earth population of roughly 400 million.
#
# 650 areas, 20794 locations with population.
# area pop     : min 0.2  p25 62  median 272  p75 647  max 13077   (max/median 48.0x)
# area avg/loc : min 0.04  median 10.2  max 242.7
#
# Grouped continent > subcontinent > region > area, in definitions.txt order.
# Areas within a region are sorted by population, largest first.


#######################################################################################################################
#  EUROPE  -  78582k  (19.9% of world, 184 areas, 5279 locations, 14.9 avg/loc)
#######################################################################################################################

#==================================================================================================================
#  WESTERN EUROPE  -  55755k  (14.2% of world, 104 areas, 2763 locations)
#==================================================================================================================
I
#  --- Scandinavian region  -  1915k  (10 areas, 462 locations, 4.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   denmark_area                            683    37     18.5  oceanic       grasslands
   syd_norge_area                          283    63      4.5  arctic        forest
   svealand_area                           262    46      5.7  continental   forest
   gotaland_area                           243    39      6.2  continental   forest
   skaneland_area                          176    13     13.5  continental   grasslands
   finland_area                            111    58      1.9  arctic        forest
   nord_norge_area                          91    58      1.6  arctic        sparse
   norrland_area                            34    80      0.4  arctic        forest
   karelia_area                             26    44      0.6  arctic        forest
   kola_area                                 6    24      0.2  arctic        sparse

#  --- North Atlantic Islands region  -  47k  (3 areas, 36 locations, 1.3 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   iceland_area                             46    21      2.2  arctic        sparse
   northern_isles_area                       1     3      0.3  oceanic       sparse
   greenland_area                            0    12      0.0  arctic        sparse

#  --- North German region  -  8758k  (14 areas, 416 locations, 21.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   upper_saxony_area                      1215    49     24.8  continental   grasslands
   lower_saxony_area                      1143    53     21.6  oceanic       grasslands
   westphalia_area                        1142    48     23.8  oceanic       grasslands
   brandenburg_area                        691    41     16.9  continental   grasslands
   flanders_area                           636    15     42.4  oceanic       farmland
   rhineland_area                          633    37     17.1  oceanic       woods
   hesse_area                              630    35     18.0  continental   woods
   pomerania_area                          514    31     16.6  continental   grasslands
   brabant_area                            509    19     26.8  oceanic       grasslands
   holland_area                            407    18     22.6  oceanic       grasslands
   mecklenburg_area                        382    15     25.5  continental   grasslands
   wallonia_area                           368    23     16.0  oceanic       woods
   friesland_area                          250    19     13.2  oceanic       grasslands
   holstein_area                           239    13     18.4  oceanic       grasslands

#  --- South German region  -  7500k  (16 areas, 351 locations, 21.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   bohemia_area                           1554    40     38.9  continental   woods
   bavaria_area                            767    39     19.7  continental   woods
   moravia_area                            672    16     42.0  continental   grasslands
   franconia_area                          599    38     15.8  continental   grasslands
   upper_rhine_area                        562    30     18.7  oceanic       woods
   swabia_area                             541    38     14.2  continental   grasslands
   styria_area                             473    21     22.5  continental   woods
   austria_area                            434    18     24.1  continental   woods
   tirol_area                              370    23     16.1  continental   forest
   alsace_area                             331    11     30.1  oceanic       grasslands
   upper_austria_area                      323    13     24.9  continental   woods
   eastern_switzerland_area                208    17     12.2  continental   woods
   central_switzerland_area                202    14     14.4  continental   grasslands
   western_switzerland_area                194    12     16.2  continental   woods
   salzburg_area                           141     9     15.7  continental   forest
   carinthia_area                          126    12     10.5  continental   woods

#  --- Great Britain region  -  3916k  (9 areas, 234 locations, 16.7 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   east_anglia_area                        727    21     34.6  oceanic       grasslands
   midlands_area                           616    33     18.7  oceanic       woods
   home_counties_area                      616    32     19.2  oceanic       grasslands
   west_country_area                       603    26     23.2  oceanic       grasslands
   northumbria_area                        535    37     14.5  oceanic       grasslands
   scottish_lowlands_area                  409    35     11.7  oceanic       grasslands
   wales_area                              309    25     12.3  oceanic       sparse
   scottish_highlands_area                  79    17      4.6  oceanic       forest
   hebrides_area                            22     8      2.8  oceanic       sparse

#  --- Ireland region  -  708k  (4 areas, 95 locations, 7.5 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   leinster_area                           337    23     14.6  oceanic       woods
   munster_area                            191    27      7.1  oceanic       woods
   ulster_area                             127    26      4.9  oceanic       grasslands
   connaught_area                           53    19      2.8  oceanic       sparse

#  --- France region  -  14749k  (19 areas, 446 locations, 33.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   normandy_area                          1267    28     45.3  oceanic       grasslands
   brittany_area                          1080    27     40.0  oceanic       grasslands
   languedoc_area                         1064    35     30.4  oceanic       woods
   guyenne_area                            944    29     32.5  oceanic       grasslands
   champagne_area                          937    32     29.3  oceanic       grasslands
   orleanais_area                          887    28     31.7  oceanic       grasslands
   ile_de_france_area                      799    19     42.0  oceanic       woods
   poitou_area                             788    25     31.5  oceanic       grasslands
   burgundy_area                           746    22     33.9  oceanic       grasslands
   anjou_area                              740    21     35.3  oceanic       grasslands
   picardy_area                            727    22     33.0  oceanic       farmland
   gascony_area                            707    23     30.7  oceanic       grasslands
   lorraine_area                           706    27     26.1  oceanic       woods
   auvergne_area                           689    21     32.8  oceanic       woods
   savoy_area                              638    21     30.4  continental   grasslands
   provence_area                           594    20     29.7  mediterranean grasslands
   limousin_province                       567    17     33.4  oceanic       woods
   franche_comte_area                      438    14     31.3  oceanic       woods
   lyonnais_area                           433    15     28.8  oceanic       grasslands

#  --- Iberia region  -  8181k  (15 areas, 424 locations, 19.3 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   castile_area                           1411    47     30.0  oceanic       grasslands
   toledo_area                             901    52     17.3  cold_arid     grasslands
   leon_area                               882    35     25.2  oceanic       grasslands
   catalonia_area                          709    29     24.4  oceanic       grasslands
   north_portugal_area                     649    34     19.1  oceanic       woods
   andalusia_area                          616    40     15.4  mediterranean woods
   south_portugal_area                     534    33     16.2  mediterranean woods
   granada_area                            481    20     24.0  cold_arid     grasslands
   extremadura_area                        434    29     15.0  mediterranean sparse
   galicia_area                            417    23     18.1  oceanic       woods
   navarre_area                            386    18     21.4  oceanic       woods
   aragon_area                             316    30     10.5  cold_arid     grasslands
   valencia_area                           257    17     15.1  mediterranean grasslands
   murcia_area                             126    12     10.5  cold_arid     sparse
   balearics_area                           63     5     12.6  cold_arid     grasslands

#  --- Italy region  -  9981k  (14 areas, 299 locations, 33.4 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   lombardy_area                          1264    34     37.2  subtropical   farmland
   veneto_area                            1158    26     44.5  subtropical   farmland
   emilia_area                            1071    32     33.5  subtropical   grasslands
   campania_area                           916    15     61.1  mediterranean farmland
   piemonte_area                           889    28     31.7  oceanic       forest
   tuscany_area                            879    24     36.6  mediterranean farmland
   lazio_area                              724    13     55.7  mediterranean farmland
   sicily_area                             716    23     31.1  mediterranean sparse
   basilicata_area                         594    20     29.7  mediterranean woods
   marche_area                             445    14     31.8  subtropical   grasslands
   liguria_area                            420    16     26.3  mediterranean woods
   apulia_area                             384    17     22.6  cold_arid     grasslands
   abruzzo_area                            375    14     26.8  subtropical   grasslands
   sardinia_area                           145    23      6.3  mediterranean woods

#==================================================================================================================
#  EASTERN EUROPE  -  22826k  (5.8% of world, 80 areas, 2516 locations)
#==================================================================================================================

#  --- Carpathia region  -  3669k  (7 areas, 260 locations, 14.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   slovakia_area                           767    45     17.0  continental   forest
   transdanubia_area                       656    31     21.2  continental   woods
   south_alfold_area                       568    27     21.0  continental   grasslands
   transylvania_area                       508    33     15.4  continental   woods
   north_alfold_area                       485    30     16.2  continental   grasslands
   wallachia_area                          353    44      8.0  continental   woods
   moldavia_area                           331    50      6.6  continental   woods

#  --- Baltic region  -  3784k  (9 areas, 340 locations, 11.1 avg/loc) ---
#  AREA                                  POP_K  LOCS  AVG/LOC  CLIMATE       VEGETATION
   silesia_area                            816    50     16.3  continental   woods
