eu4_tag,eu5_tag,country,reason
AAR,AAA,Aarnbrich,collides with a vanilla EU5 tag
ABA,ABC,Ashaba,collides with a vanilla EU5 tag
ABL,ABF,Awkri Balbage,collides with a vanilla EU5 tag
ACH,ACB,Achakk,collides with a vanilla EU5 tag
ADA,ADB,Adael,collides with a vanilla EU5 tag
ADR,ADC,Adrak,collides with a vanilla EU5 tag
AFA,AFB,Afar,collides with a vanilla EU5 tag
AGH,AGB,Aghanim,collides with a vanilla EU5 tag
AHU,AHB,Anhua,collides with a vanilla EU5 tag
AKU,AKB,Akan Urul,collides with a vanilla EU5 tag
ALE,ALH,Alletania,collides with a vanilla EU5 tag
ALL,ALJ,Allarnia,collides with a vanilla EU5 tag
ALT,ALP,Altmund,collides with a vanilla EU5 tag
AMA,AMC,Arman,collides with a vanilla EU5 tag
AMB,AMF,Amba,collides with a vanilla EU5 tag
AMD,AMI,Amdorra,collides with a vanilla EU5 tag
AMN,AMJ,Almon,collides with a vanilla EU5 tag
ANC,ANE,Anchuan,collides with a vanilla EU5 tag
ANH,ANF,Anhya,collides with a vanilla EU5 tag
ANT,ANP,Antiqua,collides with a vanilla EU5 tag
ANU,ANQ,Anumal,collides with a vanilla EU5 tag
ARA,ARC,Ararak,collides with a vanilla EU5 tag
ARK,ARE,Arkanum,collides with a vanilla EU5 tag
ARM,ARF,Armire,collides with a vanilla EU5 tag
ARN,ARH,Arrun,collides with a vanilla EU5 tag
ARR,ARJ,Arrynal,collides with a vanilla EU5 tag
ARS,ARL,Artesh,collides with a vanilla EU5 tag
ASA,ASB,Assan,collides with a vanilla EU5 tag
ASH,ASE,Ashkaz,collides with a vanilla EU5 tag
ASL,ASF,Ashlands,collides with a vanilla EU5 tag
ASR,ASG,Ashar,collides with a vanilla EU5 tag
AST,ASI,Astae,collides with a vanilla EU5 tag
ATL,ATD,Atley,collides with a vanilla EU5 tag
ATM,ATE,Altum,collides with a vanilla EU5 tag
ATO,ATN,Atobana,collides with a vanilla EU5 tag
AVA,AVB,Avantis,collides with a vanilla EU5 tag
AXO,AXA,Axos,collides with a vanilla EU5 tag
AYA,AYB,Ayandor,collides with a vanilla EU5 tag
AYO,AYC,Ayonvir,collides with a vanilla EU5 tag
BAD,BAB,Badahyan,collides with a vanilla EU5 tag
BAG,BAE,Blackgate,collides with a vanilla EU5 tag
BAK,BAF,Bakhast,collides with a vanilla EU5 tag
